ep,trading_days,annualReturn_pct,mdd,sharpeRatio,final_capital,volatility,calmarRatio,sterlingRatio,netProfit,netProfit_pct,winRate,vol_max,vol_min,vol_avg,risk_max,risk_min,risk_avg,riskRaw_max,riskRaw_min,riskRaw_avg,dailySR_max,dailySR_min,dailySR_avg,dailySR_wocbf_max,dailySR_wocbf_min,dailySR_wocbf_avg,dailyReturn_pct_max,dailyReturn_pct_min,dailyReturn_pct_avg,sigReturn_max,sigReturn_min,mdd_high,mdd_low,mdd_high_date,mdd_low_date,sharpeRatio_wocbf,reward_sum,final_capital_wocbf,cbf_contribution,risk_downsideAtVol,risk_downsideAtVol_daily_max,risk_downsideAtVol_daily_min,risk_downsideAtVol_daily_avg,risk_downsideAtValue_daily_max,risk_downsideAtValue_daily_min,risk_downsideAtValue_daily_avg,cvar_max,cvar_min,cvar_avg,cvar_raw_max,cvar_raw_min,cvar_raw_avg,solver_solvable,solver_insolvable,cputime,systime
1,1341,0.2238309866017305,0.15862199855043213,1.3459524500309854,2929566.791826011,0.15398462746359223,12.677796531825788,1.9592779565804277,1929566.7918260111,1.929566791826011,0.5674869500372856,0.3270344939661533,0.11589799252306657,0.16971742695429684,0.05182763699995324,0.0010082281461882942,0.008447053105686466,0.05182763699995324,0.0010082281461882942,0.00844705302556905,305266.2795753598,-32.78596396861352,573.3238527615032,305266.279575376,-32.785963981512644,573.323849265815,0.050012623190846005,-0.0625423535704784,0.0008489198239141043,64698.80024846364,-74913.36791294604,1088094.9210683212,915499.1300758894,2010-04-23,2010-07-01,1.3459524432476773,1097.5156720537948,2929566.7511469666,0,0.11217279918163416,0.2554698222341276,0.0,0.1250705890058418,1.946505771057783,-0.08450086992411054,0.7522264635729884,0.13732383332775566,-0.00492964200559139,0.01655679895803172,0.13732383332775566,-0.00492964200559139,0.016556798804407025,0,0,96.21875,96.59687609999999
2,1341,0.2286748382515955,0.15611509979198834,1.371383896780527,2991799.040019456,0.15466117018693526,13.235251150660428,1.9965589868789486,1991799.0400194558,1.9917990400194558,0.5719612229679344,0.3054486727311948,0.11701899339088306,0.17119858892861356,0.051836590451539565,0.0010099684777979373,0.00845606134326591,0.051836590451539565,0.0010099684031487036,0.008456061249109973,287848.4868093006,-30.8508271181574,560.4164830533716,287848.4868093159,-30.850827118157024,560.4164618700505,0.0497689934633859,-0.062233203772311126,0.0008650205929043147,65491.15723927459,-76032.76226230292,1106611.4047302492,933852.6548498339,2010-04-23,2010-07-01,1.3713839087842066,1099.5274298166157,2991799.024101811,0,0.1127374259999906,0.24553580399340338,0.0,0.1262613593351773,2.0088294930795136,-0.06614734515016607,0.7876289267849244,0.13734015378848896,-0.0049358347817944695,0.016575263388249765,0.13734015378848896,-0.004935834418280872,0.01657526319980407,0,0,95.140625,95.18188089999998
3,1341,0.22853530215028184,0.1559615923359564,1.3714974281889085,2989991.4343004003,0.15454662749909776,13.231768464062942,1.9950170670523968,1989991.4343004003,1.9899914343004004,0.5749440715883669,0.3044989977156827,0.11645027307141041,0.1710485664707615,0.05182841990385124,0.0010123815805956086,0.008452983550549764,0.05182841603363301,0.0010123815805956086,0.008452983451693702,300883.58254793816,-29.9570327813987,569.9204071707627,300883.58254793816,-29.95703278139909,569.9204050675808,0.04995283801756288,-0.06232243901059878,0.0008645014372787912,65444.21539499471,-76082.82006102102,1105598.449055926,933167.554457,2010-04-23,2010-07-01,1.3714974446110606,1098.9120426881107,2989991.43421254,0,0.11273339108644877,0.2460279120336398,0.0,0.12630961868380752,2.0072103830421955,-0.06683244554300005,0.7864333713415684,0.1373098862117722,-0.004974253081892411,0.016569008579602237,0.1373098862117722,-0.004974253081892411,0.016569008376398447,0,0,95.6875,95.69960299999997
4,1341,0.2287956710398431,0.15626368376465605,1.3695390557041363,2993365.0725273914,0.15495773571110885,13.211718166931897,1.9931004788346631,1993365.0725273914,1.9933650725273915,0.5704697986577181,0.2995093569568085,0.11560214800108738,0.17135918390397173,0.051837490647937405,0.0010141394563149587,0.00845422220536062,0.051837490647937405,0.0010141394563149587,0.008454222127371935,304420.3889861076,-31.45203992433542,587.3070677114774,304420.3889861076,-31.45203992433542,587.3070664393728,0.05000256963402518,-0.062075647584319694,0.000865592253031892,65413.29304416105,-75788.24590999982,1105962.1721635177,933140.4490368856,2010-04-23,2010-07-01,1.3695390674423842,1100.0391634517441,2993365.0708978283,0,0.1129798325657067,0.24217964810648493,0.0,0.12643630825960286,2.0100643244727996,-0.06685955096311436,0.7877613982337559,0.1373249464849482,-0.004979872644873009,0.01657070330234078,0.1373249464849482,-0.004979872644873009,0.01657070314258439,0,0,96.765625,96.97528019999999
5,1341,0.22885978217453973,0.15641626868212022,1.3731890894072833,2994196.244086385,0.1545925348607083,13.269632697546353,1.9999153484608796,1994196.2440863848,1.9941962440863847,0.5682326621923938,0.30415144928116494,0.11681556996962648,0.17110459695377644,0.051832342309923625,0.0010166961536394732,0.008451736760926861,0.051832342309923625,0.0010166960789415778,0.008451736680661789,279429.9523063546,-33.897831478384255,567.6135236789249,279429.9523063546,-33.897831478384255,567.6135179619166,0.04964530074537719,-0.06230882013361539,0.00086557554376187,64966.22721331054,-76095.4637935562,1106156.7435383408,933135.8331365085,2010-04-23,2010-07-01,1.3731890707653855,1100.317045210821,2994196.1787460633,0,0.11266158282132209,0.24554978090859472,0.0,0.12623683318104925,2.01239138934847,-0.0668641668634915,0.7883605880789197,0.13730222586749433,-0.0050146605607723285,0.016565197115723667,0.13730221561246553,-0.0050146605607723285,0.016565196967461063,0,0,97.046875,97.15866999999997
6,1341,0.2292434756219197,0.1559685593140978,1.3747785225395512,2999174.572575657,0.15469289935448596,13.308253690494201,2.001322185860846,1999174.5725756572,1.9991745725756571,0.5704697986577181,0.3026213096066216,0.11597021067524947,0.1710935343512615,0.05184150705516194,0.0010185112376548554,0.008452862815521229,0.05184150705516194,0.0010185112376548554,0.008452862726351111,289444.12768526917,-31.87828153231221,568.8379329802145,289444.12768526917,-31.878281506110504,568.8379293921753,0.049792953685238145,-0.06250800870252135,0.0008668782035919554,64903.64714218676,-76397.76305851853,1106634.6635576745,934034.4493955427,2010-04-23,2010-07-01,1.3747785618289396,1101.9759204900083,2999174.6172461906,0,0.11277494608082035,0.24144368065402863,0.0,0.12612725881257003,2.015957083974538,-0.0659655506044573,0.7901140470164627,0.13731929244104488,-0.005021058200614385,0.016566679240991082,0.13731928218601513,-0.005021058200614385,0.016566679046959142,0,0,99.296875,99.51636239999993
7,1341,0.22936131034376595,0.1562442110590858,1.375675840122294,3000704.7976184175,0.1546776530762144,13.326381716346297,2.0027358173721086,2000704.7976184175,2.0007047976184174,0.5689783743475019,0.3036190107455618,0.11573665354605892,0.17090284195807492,0.05184323653128096,0.0010215710296418766,0.008451721294643394,0.05184323653128096,0.0010215710296418766,0.008451721219526493,274958.8964904017,-31.29520093754307,548.8234016212217,274958.8964903871,-31.295202007596426,548.8233909862696,0.049580040474401565,-0.062019509193321,0.0008672492277405602,65643.30600532936,-75750.55625960417,1106476.6571996831,933596.0848402241,2010-04-23,2010-07-01,1.3756758126498894,1102.4839480631997,3000704.708294222,0,0.11277115581644116,0.2430529105497852,0.0,0.12604259741474982,2.0178561807107864,-0.06640391515977584,0.7903808948079452,0.1373127732959274,-0.005056520419108316,0.016563815918584662,0.1373127732959274,-0.005056520419108316,0.016563815786738826,0,0,96.015625,96.1810898
8,1341,0.22967940491054106,0.1560666959258734,1.3796413211576726,3004838.8028969774,0.15446362880152267,13.399031951367181,2.011178091030875,2004838.8028969774,2.0048388028969772,0.5712155108128263,0.3031167869057811,0.11604542222392027,0.1709278276425403,0.05185151674014739,0.0010234455283741235,0.008452814320954223,0.05185151674014739,0.0010234455283741235,0.008452814256621526,272408.46779299155,-30.191404921921848,553.0226063680898,272408.4676395535,-30.191404921922214,553.0226043116309,0.04954208014012856,-0.06217435526899496,0.0008681427835933417,65605.09657871118,-75960.35599316959,1106131.273105038,933501.0200512549,2010-04-23,2010-07-01,1.3796413074587202,1103.8611636451287,3004838.765794136,0,0.11248750873790514,0.243847442714923,0.0,0.12598728965881664,2.020929941051301,-0.0664989799487451,0.7913820838020599,0.1373278596988115,-0.005062301458911379,0.01656526951429041,0.13732787884742229,-0.005062301458911379,0.016565269391459143,0,0,96.90625,96.96283530000005
9,1341,0.229690364708923,0.1565608897859121,1.3785183786052988,3004981.3204788663,0.15459740545827197,13.38225547195971,2.007052685309508,2004981.3204788663,2.0049813204788665,0.5712155108128263,0.3026121091764351,0.11651695011996094,0.17112046070290357,0.05185646925192136,0.001027094446935454,0.008452644666438879,0.05185646925192136,0.001027094446935454,0.008452644598014375,271709.0331102851,-32.61763167087056,565.0878666826809,271709.0331102851,-32.61763167087056,565.0878663740966,0.0495326965937316,-0.062292738622083316,0.0008682621437669205,65374.19043462165,-76081.98511851695,1106077.3261047322,932908.8757577529,2010-04-23,2010-07-01,1.3785183964287868,1103.911284988402,3004981.3427349115,0,0.1127065755327692,0.2434146800513509,0.0,0.12624168152425838,2.022047071096299,-0.06709112424224706,0.7917259447274296,0.137326888738002,-0.005099512321708612,0.01656434308744052,0.137326888738002,-0.005099512321708612,0.016564342940642702,0,0,95.703125,95.7750170999999
10,1341,0.23005444318466228,0.15627070720741842,1.3798952708490382,3009718.797115766,0.15470698950458042,13.417148096715602,2.009182802385693,2009718.797115766,2.009718797115766,0.56972408650261,0.3022904393339142,0.11594658543139037,0.17109896450860373,0.051864420130094215,0.001029132380598208,0.008453779808665263,0.051864420130094215,0.001029132380598208,0.00845377971265763,292299.83206999017,-31.48521495014125,572.1144721213896,292299.83206999017,-31.485216050487114,572.1144662634714,0.0498378851366029,-0.06249763205068248,0.0008695058541387095,65119.740591929294,-76388.70204418898,1106848.0590726675,933880.1301102233,2010-04-23,2010-07-01,1.3798952445257533,1105.4810034985512,3009718.715857164,0,0.11278170958689833,0.24115239216396542,0.0,0.12614018136400915,2.0260973504728454,-0.0661198698897767,0.7934275781179194,0.13734191753804942,-0.005105323985648724,0.016565913339169246,0.13734191753804942,-0.005105323985648724,0.016565913162496292,0,0,95.53125,95.57726580000008
11,1341,0.2302926429044394,0.15655092152790273,1.381693954905789,3012821.590016357,0.1546779893952795,13.453807935786122,2.0116568032103217,2012821.5900163571,2.0128215900163573,0.5689783743475019,0.30083926464320226,0.11555474422662493,0.17091116601221387,0.05187507448735149,0.0010335881518929591,0.008454645902201496,0.051875067285148506,0.0010335881518929591,0.008454645835685923,283675.07173527044,-30.777094912109412,555.715556963355,283675.07173527044,-30.77709491210974,555.7155188030688,0.049715223514373165,-0.062025985706598,0.0008702567812344942,65047.11568640452,-75782.78012459236,1106851.145000785,933572.5782566977,2010-04-23,2010-07-01,1.3816939410690412,1106.515658467572,3012821.5456291954,0,0.11277602556083113,0.24016946206072953,0.0,0.12602180555131115,2.0294405971460434,-0.0664274217433023,0.7944952489370289,0.13735711910671033,-0.005141676596954595,0.01656699581506482,0.13735711910671033,-0.005141676596954595,0.016566995689384738,0,0,94.703125,94.82722790000003
12,1341,0.23058270377421008,0.15674700557598653,1.3809345780082176,3016603.4340187046,0.1549730937166356,13.453194054031622,2.010945136135878,2016603.4340187046,2.0166034340187045,0.56972408650261,0.30206280615527725,0.11621103861893704,0.17145551886809876,0.051883029276495504,0.001035777208541681,0.008455747418827453,0.051883029276495504,0.001035777208541681,0.00845574733339595,310011.61442116,-31.11150306217454,602.4659146984728,310011.61442114343,-31.111503081036727,602.4658384934444,0.05008595505354974,-0.062256948242577395,0.0008713728542030596,66427.96537455684,-76067.91473927279,1107069.3028914945,933539.5046981579,2010-04-23,2010-07-01,1.380934558898709,1107.7718938077903,3016603.3637639186,0,0.11296990397390237,0.24343191015923052,0.0,0.12645835930070248,2.032530170302221,-0.06646049530184206,0.7953825127099611,0.13737189772778666,-0.005147439370402317,0.01656850122318165,0.13737189772778666,-0.005147439370402317,0.01656850106516034,0,0,94.046875,94.1136548999998
13,1341,0.23060600336500459,0.15680013925972214,1.3828907691855654,3016907.383714047,0.15477072241291712,13.48415631949375,2.013833896315473,2016907.3837140468,2.016907383714047,0.56972408650261,0.30156562469217907,0.1156111628014141,0.17097715694779797,0.051897667420066664,0.0010403615233482853,0.008457328606280633,0.051897667420066664,0.0010403615233482853,0.008457328524947646,281200.1031660728,-30.607915497397812,555.5575334857679,281200.1031660728,-30.607915497397812,555.5575318021828,0.04968218061752362,-0.0620285837739036,0.0008713250336474477,66176.62294886354,-75771.5665625725,1106640.3933667953,933119.0255764481,2010-04-23,2010-07-01,1.3828907757534128,1107.8689221085324,3016907.370446902,0,0.11283293587840391,0.24206106284818787,0.0,0.12611605937084538,2.0335033461143395,-0.0668809744235519,0.7954881800755721,0.1373993981849087,-0.005182495357493575,0.01657103236603836,0.1373993981849087,-0.005182495357493575,0.01657103220289953,0,0,93.515625,93.51084039999978
14,1341,0.23095336775821074,0.15669093490302788,1.3853537953057957,3021441.7997621456,0.15474629548395616,13.535385206880536,2.0179444796065535,2021441.7997621456,2.0214417997621457,0.5704697986577181,0.3033303791863571,0.11607055387356988,0.17122861853148458,0.051905766462318835,0.001042618166634053,0.00845838935078931,0.051905766462318835,0.001042618166634053,0.008458389266356243,292802.6411425947,-30.41196410982994,580.3441742913858,292802.6411425791,-30.41196409695836,580.343983406586,0.049851426691609274,-0.06244888402022769,0.000872429727849425,66380.71561791422,-76314.29561473383,1106728.692215652,933314.3387483761,2010-04-23,2010-07-01,1.3853538024443246,1109.3750407452387,3021441.7648054147,0,0.1127885229682207,0.24387362837774237,0.0,0.1261848688004631,2.0370870328558075,-0.0666856612516239,0.7970852334631053,0.1374149414464657,-0.005188012757192294,0.016572476194280025,0.1374149414464657,-0.005188011872195319,0.01657247603013643,0,0,94.421875,94.45272260000002
