ep,trading_days,annualReturn_pct,mdd,sharpeRatio,final_capital,volatility,calmarRatio,sterlingRatio,netProfit,netProfit_pct,winRate,vol_max,vol_min,vol_avg,risk_max,risk_min,risk_avg,riskRaw_max,riskRaw_min,riskRaw_avg,dailySR_max,dailySR_min,dailySR_avg,dailySR_wocbf_max,dailySR_wocbf_min,dailySR_wocbf_avg,dailyReturn_pct_max,dailyReturn_pct_min,dailyReturn_pct_avg,sigReturn_max,sigReturn_min,mdd_high,mdd_low,mdd_high_date,mdd_low_date,sharpeRatio_wocbf,reward_sum,final_capital_wocbf,cbf_contribution,risk_downsideAtVol,risk_downsideAtVol_daily_max,risk_downsideAtVol_daily_min,risk_downsideAtVol_daily_avg,risk_downsideAtValue_daily_max,risk_downsideAtValue_daily_min,risk_downsideAtValue_daily_avg,cvar_max,cvar_min,cvar_avg,cvar_raw_max,cvar_raw_min,cvar_raw_avg,solver_solvable,solver_insolvable,cputime,systime
1,1341,0.2219366805066194,0.16960816593423866,1.3181315825054698,2905517.1876479043,0.15579755711207022,12.204817567095388,1.9147386137952174,1905517.1876479043,1.9055171876479042,0.5637583892617449,0.3512701860213113,0.12800038038719258,0.17462433512846914,0.05191005518020429,0.0010053840055788855,0.008477510166078334,0.05194520559773422,0.0010055121715709914,0.008460436527962877,319877.6060542831,-33.795692668390075,598.9032961700465,322473.4464986528,-34.022827351430806,591.9483745342338,0.050203009233721035,-0.06237245268529452,0.0008438858114066626,64355.384149322286,-73870.94919377496,1091580.3651202144,906439.4214223482,2010-04-23,2010-07-01,1.3720549980920889,521.2652729133496,2998836.5838476554,0.0,0.11357878075459958,0.2863030808865663,0.0,0.1288875754532438,1.9218634759555022,-0.09356057857765177,0.7359995428742774,0.13755475595735964,-0.00487739975381031,0.016626926797423384,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,3.15625,3.286520099999997
2,1341,0.22848092132150644,0.15577778774046802,1.3681926919897178,2989287.2038084073,0.15488017335726198,13.179563394761844,1.9930767512603298,1989287.2038084073,1.9892872038084073,0.5689783743475019,0.3018951710221629,0.11678587581918931,0.17133381548441773,0.05191008196840533,0.0010053807842770384,0.0084588638753386,0.05194520559773422,0.0010055121715709914,0.008460436527962877,272151.4777914312,-33.112264905303306,583.8411202951596,274306.9034554714,-33.33094891859228,587.0654098198102,0.04952985364672371,-0.06201131651952243,0.0008645255819936619,64818.73866328085,-75568.53754181601,1104884.4122121471,932767.9627688115,2010-04-23,2010-07-01,1.3721133108385013,531.4966331589283,2997850.689509722,0.0,0.11283143350277872,0.2416034720203077,0.0,0.1261797928874,2.005918521256582,-0.06723203723118854,0.784700882278447,0.137554814687194,-0.004877378165052047,0.016581311098355925,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,4.125,4.324833999999996
3,1341,0.22858248164308725,0.1557907171602635,1.3688178936242825,2990602.5167985917,0.15488362815140094,13.192826889064056,1.992824023237313,1990602.5167985917,1.9906025167985917,0.5734526472781506,0.30123531956458793,0.11646813463039801,0.17121595707707174,0.05192041920711722,0.001004358643374788,0.008458671589961398,0.05194520559773422,0.0010055121715709914,0.008460436527962877,299360.11675846356,-33.28159753552106,601.7224609908403,301035.32747265825,-33.44924390186927,604.1717283021162,0.04992768573828861,-0.06241258133419077,0.0008648573560730105,65654.59540643636,-76090.80056751845,1105185.0636406401,933007.4899812534,2010-04-23,2010-07-01,1.3725300067408652,531.9500504038072,2998763.760448937,0.0,0.11289034058500372,0.24046415076276484,0.0,0.12613193838937578,2.0062177965910473,-0.06699251001874662,0.7851754774695998,0.13758110946616423,-0.0048789326570864155,0.016580816088985127,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,3.84375,3.873172800000006
4,1341,0.22843378733880937,0.15556915486762868,1.3674779671696067,2988676.9287817692,0.15492665507241243,13.166973072941088,1.9909575285951444,1988676.9287817692,1.9886769287817692,0.56972408650261,0.3028713323133102,0.11606176846391456,0.17139244522159258,0.051920419286615574,0.001004358708806503,0.008458671626652911,0.05194520559773422,0.0010055121715709914,0.008460436527962877,277575.59186657565,-32.931346724055906,575.9829447698386,279219.65384252084,-33.0978805337167,578.223465627651,0.0496129483392524,-0.06234669093966901,0.000864402919931092,66476.0175678106,-75990.81593821221,1104834.1447649777,932956.0305949908,2010-04-23,2010-07-01,1.3712032539976096,531.3044857648476,2996844.5749512776,0.0,0.11292072717995084,0.24403187363993098,0.0,0.126425365740694,2.0064488494244963,-0.06704396940500923,0.7848417461341654,0.13758110623395256,-0.004878933116841153,0.016580816135434346,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,3.78125,3.775380499999997
5,1341,0.22861051163850088,0.15566403903585901,1.3691921863867962,2990965.6174675375,0.15486175990972312,13.199552473541306,1.9934114685241549,1990965.6174675375,1.9909656174675374,0.5734526472781506,0.30311717144304157,0.1172572527613961,0.171298196835943,0.05192434672514202,0.0010033791929421438,0.00845794392046912,0.05194520559773422,0.0010055121715709914,0.008460436527962877,299741.4113051159,-33.375805706243234,602.3455337927901,301208.4284453661,-33.48585019517202,604.357540873785,0.04993349844459189,-0.06247938353880225,0.0008649343803932906,66547.10424351739,-76186.59576762374,1105368.6174776002,933302.4738575536,2010-04-23,2010-07-01,1.3727010432655402,532.1160254780925,2998889.787779605,0.0,0.1128691392670273,0.24149773926869483,0.0,0.12616939414183495,2.0065545266678106,-0.0666975261424464,0.785415583283613,0.1375941512884429,-0.004882541444548371,0.016579262694242054,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,3.859375,3.8628855000000044
6,1341,0.22852411851919285,0.1555739235076028,1.367112964933215,2989846.595529389,0.1550340929796879,13.164791031430967,1.9905466376302043,1989846.595529389,1.9898465955293891,0.5704697986577181,0.301283403053823,0.11671608682380613,0.17142649053952846,0.05192434656158687,0.0010033792642712078,0.008457943975651068,0.05194520559773422,0.0010055121715709914,0.008460436527962877,325987.0584811634,-32.371173804818,617.608720142992,327745.62606241886,-32.49750954829955,619.9511773492072,0.05028327283479743,-0.062493217405141264,0.000864761234343632,66096.89185899962,-76170.12961673876,1104704.388885648,932841.1927906391,2010-04-23,2010-07-01,1.3705937174558376,531.7390727961285,2997757.9576187585,0.0,0.11298001058828722,0.24036548245473943,0.0,0.12628974565566314,2.0075483831892846,-0.06715880720936085,0.7850215672796479,0.13759414672308745,-0.004882541517462528,0.016579262801796883,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,3.8125,3.8022615999999942
7,1341,0.2285099102160113,0.15545830146482997,1.3681749436712538,2989662.5925653926,0.15490337050561806,13.180371324690054,1.9919912490083527,1989662.5925653926,1.9896625925653926,0.56972408650261,0.30397606687885637,0.11616645543733489,0.17136993643173623,0.05192725353913663,0.001002389542724395,0.0084570882637517,0.05194520559773422,0.0010055121715709914,0.008460436527962877,277708.0550045352,-33.02869688109819,576.3287411272829,279219.65384252084,-33.09788053371707,578.2267532013532,0.04961577380445356,-0.062358070417437614,0.0008646347622742086,66525.47489387263,-76020.8271437874,1104833.2980826953,933077.7901609733,2010-04-23,2010-07-01,1.3714506476393176,531.7407920194538,2997384.680711553,0.0,0.11290495880783027,0.24452445556938346,0.0,0.12640772101032088,2.0072899656856857,-0.06692220983902664,0.7851526639849665,0.13760341783870825,-0.004887541423083817,0.016577453696171075,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,3.84375,3.855954899999986
8,1341,0.2286493826232079,0.15562190724489267,1.3694742837228957,2991469.211601305,0.15485824388515482,13.205283735890267,1.9949930908356317,1991469.2116013048,1.9914692116013049,0.56972408650261,0.304530852251352,0.11703037832296044,0.17132940637525076,0.05192725259488601,0.001002389484304381,0.00845708823668491,0.05194520559773422,0.0010055121715709914,0.008460436527962877,272572.75777199696,-33.26697019431323,584.6132155957256,274306.9034554714,-33.33094891859228,587.0742203219714,0.04953803581066609,-0.062032836927879045,0.0008650567825364646,64904.045615493786,-75631.21494356636,1105070.8092326056,933097.5822591706,2010-04-23,2010-07-01,1.3727247921014434,532.345625084622,2999189.269138295,0.0,0.11281710552553038,0.24274807941021112,0.0,0.12617112342865086,2.007879881753849,-0.06690241774082939,0.7855081522698846,0.13760341833210166,-0.004887540539524275,0.016577453643358355,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,4.0,3.999435599999998
9,1341,0.22866534539293126,0.15524147107135322,1.371872717834556,2991676.0376561526,0.1545991422059235,13.24232932981538,1.9977886082002096,1991676.0376561526,1.9916760376561526,0.575689783743475,0.2991934263363353,0.11592696971023213,0.17103683614609405,0.051928351369914486,0.0010015701235026543,0.008456177540426546,0.05194520559773422,0.0010055121715709914,0.008460436527962877,298061.89517596085,-33.456852266426374,584.7616739786642,299958.17533168977,-33.48840331702012,586.8878750739876,0.049910680239825686,-0.062117902551927874,0.0008649501075122289,64200.08374509076,-75701.44631583546,1104416.22048569,932965.0217424275,2010-04-23,2010-07-01,1.3748724677518795,532.4717580936315,2999168.6338236877,0.0,0.11266762575150151,0.2382615539015777,0.0,0.12596804665372022,2.0079275407679478,-0.06703497825757254,0.7849424183168381,0.13760784291190203,-0.004892914692295809,0.016575534646487772,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,3.890625,3.886503100000013
10,1341,0.22855432174786583,0.15533561603203572,1.3680074450963557,2990237.7694536773,0.1549548012386256,13.179480403077283,1.9919718004717577,1990237.7694536773,1.9902377694536773,0.5727069351230425,0.2979975781899027,0.11657663874458396,0.1712522143446523,0.05192835214958207,0.0010015703537056217,0.008456177560735757,0.05194520559773422,0.0010055121715709914,0.008460436527962877,301423.0049022342,-32.36882737865296,589.3752962892279,303272.9792415579,-32.41385408055795,591.859572650613,0.04995739920451917,-0.062407315792240445,0.0008648104596370389,64879.95540951891,-76048.00193507993,1104048.9747883198,932550.8471600387,2010-04-23,2010-07-01,1.3710238607169825,531.9956563441498,2997765.0418207715,0.0,0.11291874538338642,0.23715686450770002,0.0,0.126091038717894,2.006856783748063,-0.06744915283996133,0.7844462754998078,0.13760785573635775,-0.004892914959076074,0.01657553469650322,0.1376407848636626,-0.004877271511451162,0.016584879795918408,0,0,3.796875,3.7957317999999987
